timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2022-06-18 01:03:23.119085	none	random_0	coclustering	mpl	70	ukn	ukn	ukn	
2022-06-18 01:03:23.119117	none	random_0	coclustering	mpl	75	ukn	ukn	ukn	
2022-06-18 01:03:23.119149	none	random_0	coclustering	mpl	80	ukn	ukn	ukn	
2022-06-18 01:03:23.119181	none	random_0	coclustering	mpl	85	ukn	ukn	ukn	
2022-06-18 01:03:23.119214	none	random_0	coclustering	mpl	90	ukn	ukn	ukn	
2022-06-18 01:03:23.119246	none	random_0	coclustering	mpl	95	ukn	ukn	ukn	
2022-06-18 01:03:23.119280	none	random_0	coclustering	mpl	100	ukn	ukn	err	
2022-06-18 01:03:23.229311	none	random_0	coclustering	mul	5	0.25	0.4583333333333333	0.23365985691665891	
2022-06-18 01:03:23.229470	none	random_0	coclustering	mul	10	0.175	0.5833333333333333	0.17253060608266227	
2022-06-18 01:03:23.229580	none	random_0	coclustering	mul	15	0.21666666666666667	0.8333333333333333	0.1504217853998091	
2022-06-18 01:03:23.229690	none	random_0	coclustering	mul	20	0.1875	0.9583333333333334	0.13249001436373734	
2022-06-18 01:03:23.229761	none	random_0	coclustering	mul	25	ukn	ukn	ukn	
2022-06-18 01:03:23.229865	none	random_0	coclustering	mul	30	ukn	ukn	ukn	
2022-06-18 01:03:23.229982	none	random_0	coclustering	mul	35	ukn	ukn	ukn	
2022-06-18 01:03:23.230051	none	random_0	coclustering	mul	40	ukn	ukn	ukn	
2022-06-18 01:03:23.230100	none	random_0	coclustering	mul	45	ukn	ukn	ukn	
2022-06-18 01:03:23.230132	none	random_0	coclustering	mul	50	ukn	ukn	ukn	
2022-06-18 01:03:23.230171	none	random_0	coclustering	mul	55	ukn	ukn	ukn	
2022-06-18 01:03:23.230205	none	random_0	coclustering	mul	60	ukn	ukn	ukn	
2022-06-18 01:03:23.230237	none	random_0	coclustering	mul	65	ukn	ukn	ukn	
2022-06-18 01:03:23.230269	none	random_0	coclustering	mul	70	ukn	ukn	ukn	
2022-06-18 01:03:23.230302	none	random_0	coclustering	mul	75	ukn	ukn	ukn	
2022-06-18 01:03:23.230334	none	random_0	coclustering	mul	80	ukn	ukn	ukn	
2022-06-18 01:03:23.230366	none	random_0	coclustering	mul	85	ukn	ukn	ukn	
2022-06-18 01:03:23.230398	none	random_0	coclustering	mul	90	ukn	ukn	ukn	
2022-06-18 01:03:23.230430	none	random_0	coclustering	mul	95	ukn	ukn	ukn	
2022-06-18 01:03:23.230462	none	random_0	coclustering	mul	100	ukn	ukn	err	
2022-06-18 01:03:23.291411	none	chill_0	coclustering	avg	5	0.4	0.75	0.36731971383331785	
2022-06-18 01:03:23.291555	none	chill_0	coclustering	avg	10	0.25	0.8333333333333333	0.2601517062219227	
2022-06-18 01:03:23.291632	none	chill_0	coclustering	avg	15	0.23333333333333334	1.0	0.2122971621874114	
2022-06-18 01:03:23.291699	none	chill_0	coclustering	avg	20	0.175	1.0	0.17671108275831687	
2022-06-18 01:03:23.291761	none	chill_0	coclustering	avg	25	ukn	ukn	ukn	
2022-06-18 01:03:23.291818	none	chill_0	coclustering	avg	30	ukn	ukn	ukn	
2022-06-18 01:03:23.291874	none	chill_0	coclustering	avg	35	ukn	ukn	ukn	
2022-06-18 01:03:23.291930	none	chill_0	coclustering	avg	40	ukn	ukn	ukn	
2022-06-18 01:03:23.291986	none	chill_0	coclustering	avg	45	ukn	ukn	ukn	
2022-06-18 01:03:23.292042	none	chill_0	coclustering	avg	50	ukn	ukn	ukn	
2022-06-18 01:03:23.292097	none	chill_0	coclustering	avg	55	ukn	ukn	ukn	
2022-06-18 01:03:23.292152	none	chill_0	coclustering	avg	60	ukn	ukn	ukn	
2022-06-18 01:03:23.292206	none	chill_0	coclustering	avg	65	ukn	ukn	ukn	
2022-06-18 01:03:23.292256	none	chill_0	coclustering	avg	70	ukn	ukn	ukn	
2022-06-18 01:03:23.292291	none	chill_0	coclustering	avg	75	ukn	ukn	ukn	
2022-06-18 01:03:23.292324	none	chill_0	coclustering	avg	80	ukn	ukn	ukn	
2022-06-18 01:03:23.292357	none	chill_0	coclustering	avg	85	ukn	ukn	ukn	
2022-06-18 01:03:23.292389	none	chill_0	coclustering	avg	90	ukn	ukn	ukn	
2022-06-18 01:03:23.292421	none	chill_0	coclustering	avg	95	ukn	ukn	ukn	
2022-06-18 01:03:23.292454	none	chill_0	coclustering	avg	100	ukn	ukn	err	
2022-06-18 01:03:23.352090	none	chill_0	coclustering	add	5	0.4	0.75	0.36731971383331785	
2022-06-18 01:03:23.352219	none	chill_0	coclustering	add	10	0.25	0.8333333333333333	0.2601517062219227	
2022-06-18 01:03:23.352295	none	chill_0	coclustering	add	15	0.23333333333333334	1.0	0.2122971621874114	
2022-06-18 01:03:23.352359	none	chill_0	coclustering	add	20	0.175	1.0	0.17671108275831687	
2022-06-18 01:03:23.352414	none	chill_0	coclustering	add	25	ukn	ukn	ukn	
2022-06-18 01:03:23.352467	none	chill_0	coclustering	add	30	ukn	ukn	ukn	
2022-06-18 01:03:23.352518	none	chill_0	coclustering	add	35	ukn	ukn	ukn	
2022-06-18 01:03:23.352575	none	chill_0	coclustering	add	40	ukn	ukn	ukn	
2022-06-18 01:03:23.352629	none	chill_0	coclustering	add	45	ukn	ukn	ukn	
2022-06-18 01:03:23.352684	none	chill_0	coclustering	add	50	ukn	ukn	ukn	
2022-06-18 01:03:23.352740	none	chill_0	coclustering	add	55	ukn	ukn	ukn	
2022-06-18 01:03:23.352795	none	chill_0	coclustering	add	60	ukn	ukn	ukn	
2022-06-18 01:03:23.352848	none	chill_0	coclustering	add	65	ukn	ukn	ukn	
2022-06-18 01:03:23.352902	none	chill_0	coclustering	add	70	ukn	ukn	ukn	
2022-06-18 01:03:23.352957	none	chill_0	coclustering	add	75	ukn	ukn	ukn	
2022-06-18 01:03:23.353012	none	chill_0	coclustering	add	80	ukn	ukn	ukn	
2022-06-18 01:03:23.353073	none	chill_0	coclustering	add	85	ukn	ukn	ukn	
2022-06-18 01:03:23.353131	none	chill_0	coclustering	add	90	ukn	ukn	ukn	
2022-06-18 01:03:23.353184	none	chill_0	coclustering	add	95	ukn	ukn	ukn	
2022-06-18 01:03:23.353235	none	chill_0	coclustering	add	100	ukn	ukn	err	
2022-06-18 01:03:23.418496	none	chill_0	coclustering	app	5	0.4	0.75	0.20882346376120223	
2022-06-18 01:03:23.418627	none	chill_0	coclustering	app	10	0.25	0.8333333333333333	0.17470147697592076	
2022-06-18 01:03:23.418686	none	chill_0	coclustering	app	15	0.23333333333333334	1.0	0.15343973783315518	
2022-06-18 01:03:23.418743	none	chill_0	coclustering	app	20	0.175	1.0	0.13171724230700999	
2022-06-18 01:03:23.418787	none	chill_0	coclustering	app	25	ukn	ukn	ukn	
2022-06-18 01:03:23.418827	none	chill_0	coclustering	app	30	ukn	ukn	ukn	
2022-06-18 01:03:23.418866	none	chill_0	coclustering	app	35	ukn	ukn	ukn	
2022-06-18 01:03:23.418906	none	chill_0	coclustering	app	40	ukn	ukn	ukn	
2022-06-18 01:03:23.418943	none	chill_0	coclustering	app	45	ukn	ukn	ukn	
2022-06-18 01:03:23.418981	none	chill_0	coclustering	app	50	ukn	ukn	ukn	
2022-06-18 01:03:23.419018	none	chill_0	coclustering	app	55	ukn	ukn	ukn	
2022-06-18 01:03:23.419056	none	chill_0	coclustering	app	60	ukn	ukn	ukn	
2022-06-18 01:03:23.419093	none	chill_0	coclustering	app	65	ukn	ukn	ukn	
2022-06-18 01:03:23.419131	none	chill_0	coclustering	app	70	ukn	ukn	ukn	
