timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2021-07-05 23:32:59.899191	none	random_0	baseline	mpl	90	0.03555555555555555	0.01989189284673338	0.019053957016994697	
2021-07-05 23:32:59.899333	none	random_0	baseline	mpl	95	0.037894736842105266	0.022987255014529105	0.018565946380311234	
2021-07-05 23:32:59.899468	none	random_0	baseline	mpl	100	0.036000000000000004	0.022987255014529105	0.0181258996895409	
2021-07-05 23:33:02.885869	none	random_0	baseline	mul	5	0.12000000000000002	0.0036751132740392685	0.06339850002884626	
2021-07-05 23:33:02.886270	none	random_0	baseline	mul	10	0.06000000000000001	0.0036751132740392685	0.05732100092732628	
2021-07-05 23:33:02.886628	none	random_0	baseline	mul	15	0.05333333333333333	0.004665212283940258	0.046754584255851904	
2021-07-05 23:33:02.886962	none	random_0	baseline	mul	20	0.05	0.005655311293841249	0.0419527057690649	
2021-07-05 23:33:02.887227	none	random_0	baseline	mul	25	0.04	0.005655311293841249	0.03723510732307911	
2021-07-05 23:33:02.887497	none	random_0	baseline	mul	30	0.039999999999999994	0.006645410303742239	0.03321553152389165	
2021-07-05 23:33:02.887747	none	random_0	baseline	mul	35	0.03428571428571429	0.006645410303742239	0.030328764791536927	
2021-07-05 23:33:02.888021	none	random_0	baseline	mul	40	0.03	0.006645410303742239	0.027802351842342865	
2021-07-05 23:33:02.888291	none	random_0	baseline	mul	45	0.026666666666666665	0.006645410303742239	0.025612531521903383	
2021-07-05 23:33:02.888549	none	random_0	baseline	mul	50	0.036	0.010730871481438956	0.024123116837726975	
2021-07-05 23:33:02.888820	none	random_0	baseline	mul	55	0.03636363636363636	0.011720970491339945	0.02307753154027157	
2021-07-05 23:33:02.889156	none	random_0	baseline	mul	60	0.04333333333333333	0.015806431669036662	0.02232074738694209	
2021-07-05 23:33:02.889434	none	random_0	baseline	mul	65	0.046153846153846156	0.017786629688838644	0.02175971019828638	
2021-07-05 23:33:02.889698	none	random_0	baseline	mul	70	0.04285714285714286	0.017786629688838644	0.02123524054239323	
2021-07-05 23:33:02.889921	none	random_0	baseline	mul	75	0.04	0.017786629688838644	0.020660557382154315	
2021-07-05 23:33:02.890189	none	random_0	baseline	mul	80	0.04	0.01989189284673338	0.020139118680448813	
2021-07-05 23:33:02.890464	none	random_0	baseline	mul	85	0.03764705882352941	0.01989189284673338	0.019598518923029794	
2021-07-05 23:33:02.890804	none	random_0	baseline	mul	90	0.03555555555555555	0.01989189284673338	0.019053957016994697	
2021-07-05 23:33:02.891215	none	random_0	baseline	mul	95	0.037894736842105266	0.022987255014529105	0.018565946380311234	
2021-07-05 23:33:02.891524	none	random_0	baseline	mul	100	0.036000000000000004	0.022987255014529105	0.0181258996895409	
2021-07-05 23:33:06.479090	none	random_1	baseline	avg	5	0.04	0.0008333333333333333	0.02452588771061834	
2021-07-05 23:33:06.479385	none	random_1	baseline	avg	10	0.02	0.0008333333333333333	0.01635059180707889	
2021-07-05 23:33:06.479816	none	random_1	baseline	avg	15	0.06666666666666668	0.004358870812661052	0.017759996963387054	
2021-07-05 23:33:06.480171	none	random_1	baseline	avg	20	0.09999999999999999	0.010768541649195459	0.02540412708664827	
2021-07-05 23:33:06.480422	none	random_1	baseline	avg	25	0.09599999999999999	0.012424920250018507	0.029514322894229957	
2021-07-05 23:33:06.480677	none	random_1	baseline	avg	30	0.08666666666666667	0.013247965517508217	0.03067549263247209	
2021-07-05 23:33:06.480959	none	random_1	baseline	avg	35	0.07428571428571429	0.013247965517508217	0.03020199454108502	
2021-07-05 23:33:06.481219	none	random_1	baseline	avg	40	0.065	0.013247965517508217	0.029086843028301317	
2021-07-05 23:33:06.481492	none	random_1	baseline	avg	45	0.057777777777777775	0.013247965517508217	0.02774659668638476	
2021-07-05 23:33:06.481791	none	random_1	baseline	avg	50	0.06400000000000002	0.015727389385820974	0.026980859110975218	
2021-07-05 23:33:06.482063	none	random_1	baseline	avg	55	0.06545454545454546	0.017949036051912084	0.026216880506287992	
2021-07-05 23:33:06.482346	none	random_1	baseline	avg	60	0.06666666666666667	0.021314014954865672	0.025756062910940687	
2021-07-05 23:33:06.482628	none	random_1	baseline	avg	65	0.07076923076923078	0.02389468492909743	0.025371921554659067	
2021-07-05 23:33:06.482873	none	random_1	baseline	avg	70	0.06571428571428573	0.02389468492909743	0.02494445821846883	
2021-07-05 23:33:06.483209	none	random_1	baseline	avg	75	0.06133333333333334	0.02389468492909743	0.024412428036703987	
